Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2020,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Accountants and auditors    ,13-2011,"1,436.10","1,497.90",61.7,4.3,125.7,"73,560",Bachelor's degree,3,None,4,None,6
Actors    ,27-2011,70.1,72.2,2.1,3.1,7.1,N/A,"Some college, no degree",6,None,4,Long-term on-the-job training,3
Actuaries    ,15-2011,27.7,32.6,4.9,17.6,2,"111,030",Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",29-1298,49.6,49.4,-0.1,-0.3,2.3,"82,420",Master's degree,2,None,4,None,6
Adhesive bonding machine operators and tenders    ,51-9191,14,13.7,-0.2,-1.8,1.4,"36,280",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Administrative law judges, adjudicators, and hearing officers    ",23-1021,15.4,15.4,0,0.3,0.7,"97,520",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
Administrative services and facilities managers,11-3010,325.9,347,21.2,6.5,26.3,"98,890",Bachelor's degree,3,Less than 5 years,2,None,6
"Adult basic education, adult secondary education, and English as a Second Language instructors    ",25-3011,59.3,53.1,-6.2,-10.4,5.3,"55,350",Bachelor's degree,3,None,4,None,6
Advertising and promotions managers    ,11-2011,28.6,28.3,-0.3,-1.1,2.5,"133,460",Bachelor's degree,3,Less than 5 years,2,None,6
Advertising sales agents    ,41-3011,139.2,130.2,-9,-6.5,14.4,"54,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Aerospace engineering and operations technologists and technicians    ,17-3021,11.9,12.7,0.8,7,1.1,"68,570",Associate's degree,4,None,4,None,6
Aerospace engineers    ,17-2011,66.4,68.2,1.9,2.8,3.9,"118,610",Bachelor's degree,3,None,4,None,6
"Agents and business managers of artists, performers, and athletes    ",13-1011,21.9,24.4,2.6,11.8,2.7,"75,420",Bachelor's degree,3,Less than 5 years,2,None,6
Agricultural and food science technicians,19-4010,24.2,25.1,1,4.1,2.8,"41,970",Associate's degree,4,None,4,Moderate-term on-the-job training,4
Agricultural engineers    ,17-2021,1.7,1.7,0,1.6,0.1,"84,410",Bachelor's degree,3,None,4,None,6
Agricultural equipment operators    ,45-2091,70.3,78.3,8,11.4,11.6,"32,750",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Agricultural inspectors    ,45-2011,15.2,15.5,0.3,1.8,2.2,"46,700",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Agricultural sciences teachers, postsecondary    ",25-1041,11.4,11.7,0.2,2.1,0.9,"90,340",Doctoral or professional degree,1,None,4,None,6
"Agricultural workers, all other    ",45-2099,12.3,12.7,0.4,2.9,1.8,"30,140",No formal educational credential,8,None,4,Short-term on-the-job training,5
Air traffic controllers    ,53-2021,24.3,24.5,0.1,0.5,2,"130,420",Associate's degree,4,None,4,Long-term on-the-job training,3
Aircraft cargo handling supervisors,53-1041,9.6,10.2,0.5,5.4,1,"53,610",High school diploma or equivalent,7,Less than 5 years,2,None,6
Aircraft mechanics and service technicians    ,49-3011,137.2,143.5,6.3,4.6,11.2,"66,440",Postsecondary nondegree award,5,None,4,None,6
"Aircraft service attendants and transportation workers, all other",53-6098,35.8,37.4,1.6,4.4,3.5,"37,790",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Aircraft structure, surfaces, rigging, and systems assemblers    ",51-2011,43.9,36.3,-7.6,-17.4,2.6,"53,160",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Airfield operations specialists    ,53-2022,10.9,11.5,0.7,6.1,1,"51,330",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Airline pilots, copilots, and flight engineers    ",53-2011,85.5,87.9,2.4,2.8,8.3,"160,970",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
"Ambulance drivers and attendants, except emergency medical technicians    ",53-3011,14.9,16.3,1.4,9.4,1.7,"27,930",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Amusement and recreation attendants    ,39-3091,357.7,394.7,37,10.3,81.8,"24,760",No formal educational credential,8,None,4,Short-term on-the-job training,5
Anesthesiologists,29-1211,33.8,34,0.2,0.5,0.9,">=208,000",Doctoral or professional degree,1,None,4,Internship/residency,1
Animal breeders    ,45-2021,8.4,8.1,-0.3,-3.2,1.2,"40,770",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Animal caretakers    ,39-2021,300.7,369.5,68.8,22.9,54.9,"26,080",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Animal control workers    ,33-9011,13.9,14.8,0.9,6.5,1.4,"38,430",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Animal scientists    ,19-1011,2.8,3,0.2,5.5,0.3,"63,490",Bachelor's degree,3,None,4,None,6
Animal trainers    ,39-2011,50.2,56.9,6.7,13.3,7.6,"31,520",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Anthropologists and archeologists    ,19-3091,8,8.4,0.4,5.2,0.8,"66,130",Master's degree,2,None,4,None,6
"Anthropology and archeology teachers, postsecondary    ",25-1061,7.2,7.5,0.3,4.4,0.6,"89,220",Doctoral or professional degree,1,None,4,None,6
"Arbitrators, mediators, and conciliators    ",23-1022,7.3,7.9,0.6,7.7,0.4,"66,130",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
"Architects, except landscape and naval    ",17-1011,129.9,130.9,1.1,0.8,8.7,"82,320",Bachelor's degree,3,None,4,Internship/residency,1
Architectural and civil drafters    ,17-3011,102.9,100.3,-2.6,-2.5,8.5,"57,500",Associate's degree,4,None,4,None,6
Architectural and engineering managers    ,11-9041,198.1,203.2,5.1,2.6,12.5,"149,530",Bachelor's degree,3,5 years or more,1,None,6
"Architecture teachers, postsecondary    ",25-1031,8.5,9,0.4,5.1,0.7,"90,880",Doctoral or professional degree,1,None,4,None,6
Archivists    ,25-4011,8.1,8.8,0.6,7.9,0.9,"56,760",Master's degree,2,None,4,None,6
"Area, ethnic, and cultural studies teachers, postsecondary    ",25-1062,13.4,14,0.7,4.9,1.1,"78,840",Doctoral or professional degree,1,None,4,None,6
Art directors    ,27-1011,99.1,97.3,-1.8,-1.8,9.2,"97,270",Bachelor's degree,3,5 years or more,1,None,6
"Art, drama, and music teachers, postsecondary    ",25-1121,116.3,122.8,6.5,5.6,9.5,"69,690",Master's degree,2,None,4,None,6
"Artists and related workers, all other    ",27-1019,13.1,13,0,-0.2,1.2,"65,800",No formal educational credential,8,None,4,Long-term on-the-job training,3
Astronomers    ,19-2011,2.3,2.4,0.1,2.4,0.1,"119,730",Doctoral or professional degree,1,None,4,None,6
Athletes and sports competitors    ,27-2021,13.6,15,1.4,10,2.1,"50,850",No formal educational credential,8,None,4,Long-term on-the-job training,3
Athletic trainers    ,29-9091,32.1,37.3,5.2,16.2,2.2,"49,860",Bachelor's degree,3,None,4,None,6
Atmospheric and space scientists    ,19-2021,9.9,10.6,0.6,6.4,0.9,"99,740",Bachelor's degree,3,None,4,None,6
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    ",25-1051,13.1,13.4,0.2,1.9,1,"94,520",Doctoral or professional degree,1,None,4,None,6
Audio and video technicians    ,27-4011,91.8,103.1,11.3,12.3,10.8,"47,920",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Audiologists    ,29-1181,13.8,15.6,1.8,13.3,0.8,"81,030",Doctoral or professional degree,1,None,4,None,6
Audiovisual equipment installers and repairers    ,49-2097,29.7,28.8,-0.8,-2.8,2.6,"41,460",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Automotive and watercraft service attendants    ,53-6031,118.8,121.6,2.8,2.4,16.3,"26,540",No formal educational credential,8,None,4,Short-term on-the-job training,5
Automotive body and related repairers    ,49-3021,155.5,159.9,4.4,2.9,13.6,"45,350",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Automotive glass installers and repairers    ,49-3022,24.3,24.2,-0.1,-0.4,2.2,"37,710",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Automotive service technicians and mechanics    ,49-3023,756.6,728.8,-27.8,-3.7,61.7,"44,050",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Avionics technicians    ,49-2091,22.8,23.8,1,4.4,1.7,"67,840",Associate's degree,4,None,4,None,6
Baggage porters and bellhops    ,39-6011,40.6,42.8,2.2,5.3,5.6,"27,050",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Bailiffs    ,33-3011,20.3,20.3,-0.1,-0.3,1.7,"48,000",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Bakers    ,51-3011,199.3,209.9,10.6,5.3,26,"29,400",No formal educational credential,8,None,4,Long-term on-the-job training,3
Barbers    ,39-5011,66.5,71.5,5,7.5,7.2,"32,470",Postsecondary nondegree award,5,None,4,None,6
Bartenders    ,35-3011,654.7,693.1,38.4,5.9,108.7,"24,960",No formal educational credential,8,None,4,Short-term on-the-job training,5
Bicycle repairers    ,49-3091,13.2,13.8,0.6,4.9,1.4,"32,630",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Bill and account collectors    ,43-3011,238.9,223.5,-15.4,-6.4,22.9,"38,100",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Billing and posting clerks    ,43-3021,484.2,493.5,9.3,1.9,48.1,"39,590",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Biochemists and biophysicists    ,19-1021,34.6,36,1.4,4,2.9,"94,270",Doctoral or professional degree,1,None,4,None,6
Bioengineers and biomedical engineers    ,17-2031,21.2,22.2,1,4.7,1.4,"92,620",Bachelor's degree,3,None,4,None,6
"Biological science teachers, postsecondary    ",25-1042,64.7,70.7,6,9.3,5.6,"85,600",Doctoral or professional degree,1,None,4,None,6
"Biological scientists, all other    ",19-1029,44.7,45.7,1,2.2,3.6,"85,290",Bachelor's degree,3,None,4,None,6
Biological technicians    ,19-4021,87.5,91.8,4.3,4.9,9.4,"46,340",Bachelor's degree,3,None,4,None,6
Boilermakers    ,47-2011,15.9,16,0.1,0.9,1.4,"65,360",High school diploma or equivalent,7,None,4,Apprenticeship,2
"Bookkeeping, accounting, and auditing clerks    ",43-3031,"1,673.60","1,578.20",-95.4,-5.7,162.1,"42,410","Some college, no degree",6,None,4,Moderate-term on-the-job training,4
Brickmasons and blockmasons    ,47-2021,81.9,76.7,-5.2,-6.4,6.4,"55,080",High school diploma or equivalent,7,None,4,Apprenticeship,2
Bridge and lock tenders    ,53-6011,3.3,3.3,0,1.3,0.3,"52,340",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Broadcast announcers and radio disc jockeys    ,27-3011,40.8,38.7,-2.1,-5.3,3.7,"36,770",Bachelor's degree,3,None,4,None,6
Broadcast technicians    ,27-4012,32.7,33.7,1,3.1,3.4,"43,570",Associate's degree,4,None,4,Short-term on-the-job training,5
Brokerage clerks    ,43-4011,48.6,50.5,1.9,3.8,4.9,"55,270",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Budget analysts    ,13-2031,55.4,57.3,1.9,3.4,4.3,"78,970",Bachelor's degree,3,None,4,None,6
"Building cleaning workers, all other    ",37-2019,19.4,20.4,0.9,4.8,2.5,"34,510",No formal educational credential,8,None,4,Short-term on-the-job training,5
Bus and truck mechanics and diesel engine specialists    ,49-3031,281.3,290.8,9.6,3.4,24.5,"50,200",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Bus drivers, transit and intercity",53-3052,223.4,244.2,20.8,9.3,28.9,"45,900",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Business teachers, postsecondary    ",25-1011,105.1,117.7,12.7,12,9.5,"88,010",Doctoral or professional degree,1,None,4,None,6
Butchers and meat cutters    ,51-3021,137.5,139.8,2.3,1.7,14.9,"32,900",No formal educational credential,8,None,4,Long-term on-the-job training,3
Buyers and purchasing agents,13-1020,449.3,409.7,-39.7,-8.8,36,"66,690",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Cabinetmakers and bench carpenters    ,51-7011,112.2,108.9,-3.3,-2.9,9.3,"36,710",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,91.6,93.6,2,2.1,7.9,"64,190",Associate's degree,4,None,4,None,6
Camera and photographic equipment repairers    ,49-9061,4.2,4.3,0.1,2.6,0.4,"40,330",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Camera operators, television, video, and film    ",27-4031,29.7,33.8,4.2,14,3,"57,200",Bachelor's degree,3,None,4,None,6
"Captains, mates, and pilots of water vessels    ",53-5021,38.9,38.7,-0.1,-0.3,3.3,"77,130",Postsecondary nondegree award,5,Less than 5 years,2,None,6
Cardiovascular technologists and technicians    ,29-2031,57.4,60.5,3.1,5.4,3.2,"59,100",Associate's degree,4,None,4,None,6
"Career/technical education teachers, middle school    ",25-2023,11.8,12.1,0.4,3.1,0.8,"62,270",Bachelor's degree,3,Less than 5 years,2,None,6
"Career/technical education teachers, postsecondary    ",25-1194,124.1,125.5,1.3,1.1,9.4,"55,620",Bachelor's degree,3,Less than 5 years,2,None,6
"Career/technical education teachers, secondary school    ",25-2032,73.8,75.5,1.7,2.3,4.8,"62,460",Bachelor's degree,3,Less than 5 years,2,None,6
Cargo and freight agents    ,43-5011,97.2,102.6,5.4,5.5,9.1,"43,770",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Carpenters    ,47-2031,"1,024.10","1,019.90",-4.2,-0.4,89,"49,520",High school diploma or equivalent,7,None,4,Apprenticeship,2
Carpet installers    ,47-2041,36.5,33.3,-3.2,-8.9,2.5,"41,480",No formal educational credential,8,None,4,Short-term on-the-job training,5
Cartographers and photogrammetrists    ,17-1021,12,12.5,0.5,4.5,0.9,"68,380",Bachelor's degree,3,None,4,None,6
Cashiers    ,41-2011,"3,600.90","3,335.50",-265.3,-7.4,558.6,"25,020",No formal educational credential,8,None,4,Short-term on-the-job training,5
Cement masons and concrete finishers    ,47-2051,200.4,196.4,-3.9,-2,16.8,"46,000",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Chefs and head cooks    ,35-1011,148.7,158.1,9.5,6.4,18.5,"53,380",High school diploma or equivalent,7,5 years or more,1,None,6
Chemical engineers    ,17-2041,32.6,34,1.4,4.4,2,"108,540",Bachelor's degree,3,None,4,None,6
Chemical equipment operators and tenders    ,51-9011,88.5,90,1.5,1.7,8.7,"50,510",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Chemical plant and system operators    ,51-8091,29.2,28.3,-0.9,-3.1,2.6,"65,960",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Chemical technicians    ,19-4031,68.1,70,1.9,2.8,6.3,"49,820",Associate's degree,4,None,4,Moderate-term on-the-job training,4
"Chemistry teachers, postsecondary    ",25-1052,26.4,27.5,1.1,4.3,2.1,"80,400",Doctoral or professional degree,1,None,4,None,6
Chemists    ,19-2031,86.7,90.8,4.1,4.7,7.3,"79,300",Bachelor's degree,3,None,4,None,6
Chief executives    ,11-1011,287.9,259.1,-28.7,-10,13.9,"185,950",Bachelor's degree,3,5 years or more,1,None,6
"Child, family, and school social workers    ",21-1021,342.5,382.6,40.1,11.7,34.9,"48,430",Bachelor's degree,3,None,4,None,6
Childcare workers    ,39-9011,"1,146.40","1,165.90",19.5,1.7,160.2,"25,460",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Chiropractors    ,29-1011,51.1,53.4,2.3,4.5,1.4,"70,720",Doctoral or professional degree,1,None,4,None,6
Choreographers    ,27-2032,5.5,6.3,0.8,14,1,"43,680",High school diploma or equivalent,7,5 years or more,1,Long-term on-the-job training,3
Civil engineering technologists and technicians    ,17-3022,70.9,72.7,1.8,2.5,6.1,"54,080",Associate's degree,4,None,4,None,6
Civil engineers    ,17-2051,329.2,334.7,5.5,1.7,22.9,"88,570",Bachelor's degree,3,None,4,None,6
"Claims adjusters, examiners, and investigators    ",13-1031,332.9,311.5,-21.4,-6.4,21,"68,270",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Cleaners of vehicles and equipment    ,53-7061,408.4,423.1,14.7,3.6,53.9,"27,640",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cleaning, washing, and metal pickling equipment operators and tenders    ",51-9192,16.3,16.5,0.2,1.4,2.3,"32,230",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Clergy    ,21-2011,243.9,253.6,9.7,4,24.4,"51,940",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Clinical laboratory technologists and technicians,29-2010,337.8,362.5,24.7,7.3,21.6,"54,180",Bachelor's degree,3,None,4,None,6
"Clinical, counseling, and school psychologists    ",19-3031,171.5,176.7,5.3,3.1,10.5,"79,820",Doctoral or professional degree,1,None,4,Internship/residency,1
Coaches and scouts    ,27-2022,292,326.4,34.3,11.8,45.3,"36,330",Bachelor's degree,3,None,4,None,6
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,151.4,153.9,2.6,1.7,14.5,"39,060",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Coil winders, tapers, and finishers    ",51-2021,13,10.5,-2.4,-18.7,0.9,"37,970",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Coin, vending, and amusement machine servicers and repairers    ",49-9091,37,36.3,-0.8,-2,3.9,"37,580",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Commercial and industrial designers    ,27-1021,42.2,40.7,-1.5,-3.5,3.4,"71,640",Bachelor's degree,3,None,4,None,6
Commercial divers    ,49-9092,4,4.2,0.2,4.7,0.4,"54,800",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
Commercial pilots    ,53-2012,41.6,45.4,3.8,9.1,4.4,"93,300",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Communications equipment operators, all other    ",43-2099,3.6,3.9,0.3,9.1,0.4,"46,680",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Communications teachers, postsecondary    ",25-1122,35.6,36.7,1.1,3.2,2.8,"71,030",Doctoral or professional degree,1,None,4,None,6
"Community and social service specialists, all other    ",21-1099,105.2,117.6,12.4,11.7,11.8,"46,770",Bachelor's degree,3,None,4,None,6
Community health workers    ,21-1094,64.9,74.8,9.9,15.2,7.6,"42,000",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Compensation and benefits managers    ,11-3111,18,18.4,0.5,2.5,1.3,"125,130",Bachelor's degree,3,5 years or more,1,None,6
"Compensation, benefits, and job analysis specialists    ",13-1141,94.4,101.8,7.5,7.9,9,"67,190",Bachelor's degree,3,Less than 5 years,2,None,6
Compliance officers    ,13-1041,337.6,353.2,15.6,4.6,27.7,"71,100",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Computer and information research scientists,15-1221,32.7,37.7,5,15.4,3,"126,830",Master's degree,2,None,4,None,6
Computer and information systems managers    ,11-3021,461,509.2,48.1,10.4,36.8,"151,150",Bachelor's degree,3,5 years or more,1,None,6
Computer hardware engineers    ,17-2061,71.1,72.2,1.1,1.6,4.9,"119,560",Bachelor's degree,3,None,4,None,6
Computer network architects,15-1241,160.1,168.1,8,5,10,"116,780",Bachelor's degree,3,5 years or more,1,None,6
Computer network support specialists,15-1231,195.1,207.7,12.6,6.4,14.8,"65,450",Associate's degree,4,None,4,None,6
Computer numerically controlled tool operators,51-9161,152.4,141.7,-10.7,-7,11.8,"42,260",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Computer numerically controlled tool programmers,51-9162,25.7,31.3,5.6,21.9,3.1,"57,740",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
"Computer occupations, all other",15-1299,431.1,455.8,24.7,5.7,32.3,"92,870",Bachelor's degree,3,None,4,None,6
Computer programmers,15-1251,213.9,193.8,-20.1,-9.4,10.4,"89,190",Bachelor's degree,3,None,4,None,6
"Computer science teachers, postsecondary    ",25-1021,38.5,39.5,1,2.6,3,"85,540",Doctoral or professional degree,1,None,4,None,6
Computer systems analysts,15-1211,632.4,679,46.6,7.4,46.2,"93,730",Bachelor's degree,3,None,4,None,6
Computer user support specialists,15-1232,687.2,741.9,54.8,8,53.6,"52,690","Some college, no degree",6,None,4,None,6
"Computer, automated teller, and office machine repairers    ",49-2011,112.3,111.4,-0.9,-0.8,10.6,"41,090","Some college, no degree",6,None,4,Short-term on-the-job training,5
Concierges    ,39-6012,42.6,45.5,2.9,6.7,6,"32,380",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Conservation scientists    ,19-1031,24.5,25.8,1.2,5.1,2.3,"64,020",Bachelor's degree,3,None,4,None,6
Construction and building inspectors    ,47-4011,120.8,124.6,3.9,3.2,13.5,"62,860",High school diploma or equivalent,7,5 years or more,1,Moderate-term on-the-job training,4
Construction laborers    ,47-2061,"1,398.00","1,473.40",75.4,5.4,141.1,"37,890",No formal educational credential,8,None,4,Short-term on-the-job training,5
Construction managers    ,11-9021,476.7,517.1,40.4,8.5,34.7,"97,180",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Continuous mining machine operators    ,47-5041,15,15.3,0.3,2.3,1.7,"56,920",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Control and valve installers and repairers, except mechanical door    ",49-9012,53.1,53.2,0.1,0.2,4,"60,580",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Conveyor operators and tenders    ,53-7011,23.9,24,0.1,0.4,2.7,"35,770",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cooks, all other    ",35-2019,21.8,22.5,0.8,3.5,2.9,"30,460",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Cooks, fast food    ",35-2011,534,462.3,-71.6,-13.4,57.3,"24,380",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cooks, institution and cafeteria    ",35-2012,420.2,428.7,8.5,2,55.8,"28,650",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cooks, private household    ",35-2013,23.8,22.3,-1.5,-6.3,2.8,"32,630",Postsecondary nondegree award,5,Less than 5 years,2,None,6
"Cooks, restaurant    ",35-2014,"1,417.30","1,744.60",327.3,23.1,237.2,"28,800",No formal educational credential,8,Less than 5 years,2,Moderate-term on-the-job training,4
"Cooks, short order    ",35-2015,154.7,147.9,-6.8,-4.4,18.9,"26,570",No formal educational credential,8,None,4,Short-term on-the-job training,5
Cooling and freezing equipment operators and tenders    ,51-9193,9.4,9.8,0.4,3.8,1,"37,650",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Correctional officers and jailers    ,33-3012,442,408.9,-33.1,-7.5,33,"47,410",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Correspondence clerks    ,43-4021,6.8,6.6,-0.2,-3.2,0.7,"38,400",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Cost estimators    ,13-1051,214.2,211,-3.2,-1.5,17.5,"66,610",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Costume attendants    ,39-3092,7.7,8.1,0.4,4.7,1.7,"42,910",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Counselors, all other    ",21-1019,29.1,32.9,3.8,13,3.1,"45,760",Master's degree,2,None,4,None,6
Counter and rental clerks    ,41-2021,420.4,424.9,4.5,1.1,46.1,"30,870",No formal educational credential,8,None,4,Short-term on-the-job training,5
Couriers and messengers    ,43-5021,121.8,119.1,-2.7,-2.2,10.4,"30,980",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Court reporters and simultaneous captioners,27-3092,15.7,17,1.4,8.9,1.4,"61,660",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
"Court, municipal, and license clerks    ",43-4031,163.7,171.6,7.9,4.8,15.6,"40,930",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Craft artists    ,27-1012,10.6,10.5,-0.1,-1,1,"35,180",No formal educational credential,8,None,4,Long-term on-the-job training,3
Crane and tower operators    ,53-7021,45.7,46.5,0.8,1.7,4.5,"59,710",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Credit analysts    ,13-2041,74.9,71.2,-3.6,-4.8,5.3,"74,970",Bachelor's degree,3,None,4,None,6
"Credit authorizers, checkers, and clerks    ",43-4041,26.9,25.6,-1.3,-4.8,2.2,"41,730",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Credit counselors    ,13-2071,35.6,38.3,2.7,7.6,2.9,"46,170",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Crematory operators and personal care and service workers, all other",39-9098,111.3,128.8,17.5,15.7,17.1,"28,420",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Criminal justice and law enforcement teachers, postsecondary    ",25-1111,16.8,17.9,1.1,6.7,1.4,"63,560",Doctoral or professional degree,1,None,4,None,6
Crossing guards and flaggers    ,33-9091,86.7,91.6,5,5.7,15.4,"30,790",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Crushing, grinding, and polishing machine setters, operators, and tenders    ",51-9021,35.3,33.3,-2,-5.7,3.3,"39,370",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Curators    ,25-4012,14.5,16.4,1.8,12.6,1.8,"56,990",Master's degree,2,None,4,None,6
Customer service representatives    ,43-4051,"3,018.80","2,959.80",-59,-2,350.2,"35,830",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Cutters and trimmers, hand    ",51-9031,9.8,6.9,-2.9,-29.9,0.6,"31,630",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Cutting and slicing machine setters, operators, and tenders    ",51-9032,59.8,57,-2.9,-4.8,5.7,"36,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic    ",51-4031,195.7,179.4,-16.3,-8.3,16,"36,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Dancers    ,27-2031,11.4,11.7,0.3,2.3,1.8,N/A,No formal educational credential,8,None,4,Long-term on-the-job training,3
Data entry keyers    ,43-9021,172.4,130,-42.4,-24.6,10.9,"34,440",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Data scientists and mathematical science occupations, all other",15-2098,33.2,43.4,10.3,30.9,3.6,"98,230",Bachelor's degree,3,None,4,None,6
Database administrators and architects,15-1245,132.5,145.3,12.8,9.7,9.9,"98,860",Bachelor's degree,3,None,4,None,6
Demonstrators and product promoters    ,41-9011,88.1,90.9,2.7,3.1,15.3,"32,500",No formal educational credential,8,None,4,Short-term on-the-job training,5
Dental assistants    ,31-9091,354.6,378,23.4,6.6,39,"41,180",Postsecondary nondegree award,5,None,4,None,6
Dental hygienists,29-1292,226.4,239.7,13.3,5.9,15.1,"77,090",Associate's degree,4,None,4,None,6
Dental laboratory technicians    ,51-9081,36.2,39.6,3.4,9.4,4.6,"42,110",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Dentists, all other specialists    ",29-1029,6.2,6.2,0,0.2,0.2,"183,300",Doctoral or professional degree,1,None,4,Internship/residency,1
"Dentists, general    ",29-1021,132.1,135.7,3.7,2.8,4.2,"158,940",Doctoral or professional degree,1,None,4,None,6
"Derrick operators, oil and gas    ",47-5011,12,15.7,3.7,30.5,2,"47,920",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Designers, all other    ",27-1029,13.6,13.4,-0.3,-1.9,1.1,"63,750",Bachelor's degree,3,None,4,None,6
Desktop publishers    ,43-9031,10.4,8.4,-2,-19,0.8,"47,560",Associate's degree,4,None,4,Short-term on-the-job training,5
